1,1,500,400,80,160,1,1,1
1,2,550,410,90,170,1,1,1
1,3,600,420,85,165,1,1,1
2,1,505,405,80,160,1,1,1
2,2,555,415,90,170,1,1,1
2,3,605,425,85,165,1,1,1
2,4,655,435,95,175,1,1,1
3,1,510,410,80,160,1,1,1
3,2,560,420,90,170,1,1,1
3,3,610,430,85,165,1,1,1
4,1,515,415,80,160,1,1,1
4,2,565,425,90,170,1,1,1
5,1,520,420,80,160,1,1,1
5,2,570,430,90,170,1,1,1
5,3,620,440,85,165,1,1,1
6,1,525,425,80,160,1,1,1
6,2,575,435,90,170,1,1,1
6,3,625,445,85,165,1,1,1
6,4,675,455,95,175,1,1,1
7,1,530,430,80,160,1,1,1
7,2,580,440,90,170,1,1,1
8,1,535,435,80,160,1,1,1
8,2,585,445,90,170,1,1,1
8,3,635,455,85,165,1,1,1
9,1,540,440,80,160,1,1,1
9,2,590,450,90,170,1,1,1
9,3,640,460,85,165,1,1,1
10,1,545,445,80,160,1,1,1
10,2,595,455,90,170,1,1,1
10,3,645,465,85,165,1,1,1
10,4,695,475,95,175,1,1,1
